"word","tf_idf"
"putnam",0.000177114252681473
"spat",0.000116313274556175
"joke",7.89631229843354e-05
"smiling",7.85724184381374e-05
"penguin",7.17798670820793e-05
"topsecretrecipes",6.52544246200721e-05
"rumors",6.21362002090462e-05
"abomination",5.70537262203814e-05
"blandest",5.70537262203814e-05
"yuk",5.68105288427471e-05
"permanent",5.51883240091962e-05
"swap",4.81192706413927e-05
"perfection",4.78803170938252e-05
"atrocious",4.652530982247e-05
"battleship",4.652530982247e-05
"coronary",4.652530982247e-05
"ewwwwww",4.652530982247e-05
"fiddlesticks",4.652530982247e-05
"nastier",4.652530982247e-05
"smoldering",4.652530982247e-05
"superglued",4.652530982247e-05
"unnaturally",4.652530982247e-05
"urgh",4.652530982247e-05
"viable",4.652530982247e-05
"bev",4.5435474106485e-05
"versatile",4.35194148507195e-05
"amoroso",4.27902946652861e-05
"devoid",4.27902946652861e-05
"prmr",4.21805936514883e-05
"dissapointing",4.21136655916455e-05
"nurse",4.20158022292234e-05
"tour",4.19813152562844e-05
"buckled",4.14241334726974e-05
"naysayer",4.14241334726974e-05
"trippling",4.14241334726974e-05
"saves",4.07840153875451e-05
"cardboard",4.02407912636125e-05
"delightful",3.99351116372079e-05
"elegant",3.92578438551647e-05
"pleasure",3.74735533395776e-05
"favourite",3.70079306795068e-05
"resources",3.68494573926899e-05
"revolting",3.68494573926899e-05
"pace",3.68098639566843e-05
"pac",3.6500154390926e-05
"deens",3.59968934245587e-05
"sawdust",3.59968934245587e-05
"yumm",3.54715543462909e-05
"todd",3.51865255563318e-05
"busy",3.45092474593915e-05
"homepage",3.42585729255379e-05
"wilbur",3.38992136457343e-05
"addicting",3.35451965259867e-05
"featured",3.33999674827679e-05
"garnished",3.32794919990482e-05
"brunch",3.30651971446441e-05
"accident",3.2627212310036e-05
"thnx",3.24868032486369e-05
"yumm",3.24456826975459e-05
"roxygirl",3.21502477595596e-05
"marginally",3.20500846423427e-05
"nails",3.20500846423427e-05
"bullwinkle",3.20228546720027e-05
"dee",3.18845432326211e-05
"requests",3.17509526330232e-05
"marvelous",3.16188387056825e-05
"aweful",3.15852491937342e-05
"taffy",3.15852491937342e-05
"yummo",3.10874296518055e-05
"versatile",3.10583227134524e-05
"nchfp",3.10277448086849e-05
"driest",3.07723697898214e-05
"busy",3.0556184895186e-05
"prmr",2.99671549391966e-05
"inspiration",2.95828283418801e-05
"accident",2.9070392893733e-05
"pace",2.89957816702972e-05
"stephanie",2.88707956121528e-05
"amazingly",2.87640332884303e-05
"pac",2.87577062161596e-05
"swap",2.8593376466353e-05
"albumen",2.85268631101907e-05
"colorings",2.85268631101907e-05
"dissappointment",2.85268631101907e-05
"freakishly",2.85268631101907e-05
"ghastly",2.85268631101907e-05
"godawful",2.85268631101907e-05
"hideously",2.85268631101907e-05
"instructional",2.85268631101907e-05
"misled",2.85268631101907e-05
"mushiest",2.85268631101907e-05
"nanita",2.85268631101907e-05
"nooooo",2.85268631101907e-05
"pancakey",2.85268631101907e-05
"panned",2.85268631101907e-05
"pauladeen",2.85268631101907e-05
"picket",2.85268631101907e-05
"sickenly",2.85268631101907e-05
"trashing",2.85268631101907e-05
"waisted",2.85268631101907e-05
