"word","n"
"easy",105309
"time",95603
"delicious",80133
"loved",71891
"sauce",57867
"flavor",50355
"chicken",47818
"love",47582
"wonderful",46271
"sharing",43931
"taste",43410
"perfect",41963
"family",40819
"bit",39823
"cheese",39449
"sugar",37095
"garlic",34876
"butter",33074
"nice",32915
"cream",32776
"served",32642
"tasty",32132
"dish",32069
"yummy",31437
"half",30947
"minutes",30928
"husband",28907
"bread",28214
"cup",27726
"fresh",27688
"sweet",27481
"cut",27075
"excellent",27055
"pepper",26207
"top",25149
"dinner",24921
"salt",24588
"simple",23880
"enjoyed",23487
"ingredients",22863
"quick",22692
"keeper",22498
"oven",21828
"soup",21642
"left",21585
"extra",21222
"oil",21190
"day",21058
"found",21021
"pan",20869
"tasted",20799
"moist",20797
"cake",20579
"rice",20351
"milk",20320
"awesome",20285
"mix",20262
"onion",19952
"baked",19942
"water",19657
"flour",19378
"red",18808
"chocolate",18636
"fantastic",18618
"potatoes",18483
"change",17789
"kids",17775
"brown",17582
"eat",17383
"absolutely",17260
"meal",17233
"amazing",17162
"night",16862
"meat",16751
"times",16555
"hit",16526
"stars",16396
"green",16348
"hot",16215
"hand",16131
"salad",16126
"amount",16079
"powder",16059
"baking",15988
"lot",15803
"favorite",15766
"white",15655
"wow",15504
"pretty",15359
"yum",15261
"onions",14937
"makes",14787
"mine",14614
"texture",14446
"food",14362
"super",14167
"lemon",14148
"hours",13708
"tastes",13604
"tender",13549
